Hovedstaden;0-9;117368;4;1516;27/10/2022
Midtjylland;0-9;78891;2;489;27/10/2022
Nordjylland;0-9;33858;0;260;27/10/2022
Sj?lland;0-9;44155;0;531;27/10/2022
Syddanmark;0-9;72782;0;415;27/10/2022
Hovedstaden;Oct/19;163643;8;766;27/10/2022
Midtjylland;Oct/19;124972;0;237;27/10/2022
Nordjylland;Oct/19;54087;1;141;27/10/2022
Sj?lland;Oct/19;74918;0;309;27/10/2022
Syddanmark;Oct/19;110489;0;245;27/10/2022
Hovedstaden;20-29;194737;8;1984;27/10/2022
Midtjylland;20-29;119107;0;751;27/10/2022
Nordjylland;20-29;51015;2;351;27/10/2022
Sj?lland;20-29;51517;4;720;27/10/2022
Syddanmark;20-29;88762;2;689;27/10/2022
Hovedstaden;30-39;180681;11;2636;27/10/2022
Midtjylland;30-39;107662;3;913;27/10/2022
Nordjylland;30-39;45332;1;392;27/10/2022
Sj?lland;30-39;59901;5;875;27/10/2022
Syddanmark;30-39;90927;4;789;27/10/2022
Hovedstaden;40-49;166296;14;2350;27/10/2022
Midtjylland;40-49;106860;1;866;27/10/2022
Nordjylland;40-49;45749;3;383;27/10/2022
Sj?lland;40-49;68177;6;908;27/10/2022
Syddanmark;40-49;94604;7;756;27/10/2022
Hovedstaden;50-59;135012;9;2940;27/10/2022
Midtjylland;50-59;95300;8;1246;27/10/2022
Nordjylland;50-59;44142;2;546;27/10/2022
Sj?lland;50-59;66358;15;1278;27/10/2022
Syddanmark;50-59;90578;12;1127;27/10/2022
Hovedstaden;60-69;78313;22;3187;27/10/2022
Midtjylland;60-69;65426;6;1412;27/10/2022
Nordjylland;60-69;32424;14;802;27/10/2022
Sj?lland;60-69;42795;13;1547;27/10/2022
Syddanmark;60-69;62161;18;1497;27/10/2022
Hovedstaden;70-79;48885;40;4986;27/10/2022
Midtjylland;70-79;40595;12;2068;27/10/2022
Nordjylland;70-79;21576;16;1274;27/10/2022
Sj?lland;70-79;28348;35;2495;27/10/2022
Syddanmark;70-79;40310;30;2306;27/10/2022
Hovedstaden;80-89;18335;39;4216;27/10/2022
Midtjylland;80-89;13185;13;1724;27/10/2022
Nordjylland;80-89;7669;17;1118;27/10/2022
Sj?lland;80-89;9372;25;1944;27/10/2022
Syddanmark;80-89;14196;27;2105;27/10/2022
Hovedstaden;90+;4712;6;1297;27/10/2022
Midtjylland;90+;2744;2;460;27/10/2022
Nordjylland;90+;1537;2;258;27/10/2022
Sj?lland;90+;1826;7;534;27/10/2022
Syddanmark;90+;2845;7;566;27/10/2022